,name,description,category,img_urls
4972,Americana regent,Americana pata de gallo,chaquetas y americanas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37085129_09-99999999_01.jpg?ts=1657015882392
4977,Pantalon lupe,Pantalón recto traje,pantalones,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37015134_32-99999999_01.jpg?ts=1657712974798
4978,Top betta,Top lúrex punto calado,camisetas y tops,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37019106_99-99999999_01.jpg?ts=1666254871848
4979,Blusa fest,Blusa asimétrica volantes,camisas,https://st.mngbcn.com/rcs/pics/static/T4/fotos/S20/47091282_99.jpg?ts=1664869728810
4980,Jersey roma,Jersey canalé cuello perkins,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37085914_05-99999999_01.jpg?ts=1657285379959
4981,Jersey roma,Jersey canalé cuello perkins,jerseis y cardigans,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37085914_84-99999999_01.jpg?ts=1657285379959
4982,Falda wintour,Minifalda tweed algodón,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37054392_70-99999999_01.jpg?ts=1658738964398
4983,Falda wintour,Minifalda tweed algodón,faldas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37054392_99-99999999_01.jpg?ts=1657944439214
4986,Vestido leiab-a,Vestido fluido satinado,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37057725_78_D2.jpg?ts=1662728178202
4987,Vestido leiab-a,Vestido fluido satinado,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37057725_07_D2.jpg?ts=1662728178202
4988,Camisa lola,Camisa satinada lunares,camisas,https://st.mngbcn.com/rcs/pics/static/T3/fotos/outfit/S20/37082879_30-99999999_01.jpg?ts=1655455975676
4989,Mono casino,Mono satinado escote cruzado,vestidos y monos,https://st.mngbcn.com/rcs/pics/static/T3/fotos/S20/37079204_99.jpg?ts=1662376474080
